EAN,Country,Buybox price
0194343160733,Estonia,126.58
0194343160740,Latvia,129.24
0194343160740,Estonia,126.91
194343155401,Estonia,129.35
194343155395,Estonia,129.35
194343155388,Estonia,120.18
194343153858,Estonia,131.77
194343153988,Estonia,80.73
194343154121,Estonia,80.73
194343153896,Estonia,80.73
194343153889,Estonia,80.5
194343153926,Estonia,87.82
194343153810,Estonia,83.44
0194343147642,Lithuania,90.87
194343047096,Lithuania,61.89
0194343050775,Lithuania,137.37
0194343189352,Latvia,
,Lithuania,93.58
0194343194158,Latvia,81.08
6955880304783,Finland,58.7
194343148847,Estonia,137.63
0194343156736,Estonia,60.74
0194343156729,Estonia,58.91
0194343156712,Estonia,60.74
194343162683,Latvia,
194343162683,Estonia,133.51
194343162676,Latvia,
194343162676,Estonia,139.0
194343153322,Latvia,187.65
194343153322,Estonia,170.86
194343154466,Estonia,0.0
194343154671,Estonia,45.06
0194343044170,Estonia,158.35
194343155166,Latvia,
194343155166,Estonia,81.98
194343155180,Latvia,
194343155180,Estonia,92.24
0194343160719,Latvia,117.06
0194343160719,Estonia,95.8
0194343160733,Latvia,147.0
194343155265,Estonia,35.13
194343155289,Estonia,38.05
194343155272,Estonia,33.67
194343155197,Estonia,36.59
194343155258,Estonia,39.51
194343155203,Estonia,36.59
194343156941,Latvia,29.27
194343156941,Estonia,29.27
194343157436,Estonia,118.27
194343148809,Latvia,
194343148809,Estonia,108.38
194343148793,Latvia,
194343148793,Estonia,108.38
194343148816,Latvia,
194343148816,Estonia,103.76
194343152714,Latvia,
194343152714,Estonia,159.89
194343148823,Latvia,
194343148823,Estonia,146.41
194343148847,Latvia,
194343151502,Estonia,232.89
194343151731,Estonia,62.0
194343151694,Latvia,
194343151694,Estonia,41.38
194343149981,Latvia,93.7
194343149981,Estonia,125.0
194343149998,Estonia,84.69
194343155067,Estonia,30.4
194343155050,Estonia,46.99
194343155074,Estonia,89.0
194343145884,Estonia,37.57
194343145839,Estonia,84.0
194343145853,Estonia,54.45
194343145846,Estonia,54.45
194343154060,Estonia,159.6
194343153841,Estonia,159.6
194343145006,Estonia,169.0
194343145396,Latvia,
194343145396,Estonia,
194343145402,Estonia,120.42
194343145815,Estonia,124.45
194343145822,Latvia,
194343145822,Estonia,
194343145594,Latvia,
194343145594,Estonia,
194343145983,Estonia,151.99
194343151991,Estonia,65.64
194343152028,Estonia,64.54
194343152042,Latvia,65.64
194343152042,Estonia,63.73
194343146188,Estonia,45.83
194343146195,Estonia,113.02
194343146201,Estonia,69.49
194343146171,Estonia,56.35
194343146102,Estonia,59.63
194343148427,Latvia,
194343148427,Estonia,44.69
194343153520,Estonia,166.18
194343153513,Estonia,172.95
194343045924,Estonia,172.24
194343026725,Latvia,87.0
194343026725,Estonia,82.26
194343186177,Estonia,77.58
194343046693,Estonia,29.14
194343107967,Estonia,122.0
194343145655,Latvia,
194343145655,Estonia,
19434314566,Latvia,
19434314566,Estonia,
194343145679,Latvia,
194343145679,Estonia,
194343145686,Latvia,
194343145686,Estonia,
194343145693,Latvia,
194343145693,Estonia,
194343145792,Latvia,
194343145792,Estonia,
194343145808,Latvia,
194343145808,Estonia,117.11
194343145815,Latvia,
194343144368,Estonia,57.89
194343144375,Latvia,
194343144375,Estonia,65.88
194343145280,Latvia,
194343150697,Latvia,
194343142258,Latvia,
194343142258,Estonia,176.09
194343142197,Latvia,
194343142197,Estonia,
194343142241,Latvia,
194343142241,Estonia,234.27
194343143118,Latvia,
194343143118,Estonia,87.82
194343143125,Latvia,
194343143125,Estonia,
194343144313,Latvia,
194343144313,Estonia,109.12
194343187075,Estonia,146.41
194343185262,Estonia,120.18
194343047928,Estonia,101.2
194343148465,Latvia,
194343148465,Estonia,36.9
194343149806,Latvia,
194343148434,Latvia,
194343148434,Estonia,33.02
194343148397,Latvia,
194343148397,Estonia,33.02
194343149868,Latvia,
194343149868,Estonia,43.1
194343145990,Estonia,55.03
194343146065,Estonia,33.65
194343149738,Estonia,28.45
194343146676,Estonia,16.73
194343144337,Latvia,
194343144337,Estonia,
194343144344,Latvia,
194343144344,Estonia,
194343144351,Latvia,
194343144351,Estonia,57.89
194343144368,Latvia,
0194343080567,Lithuania,199.11
0194343184449,Lithuania,130.68
0194343037004,Lithuania,15.73
194343082189,Lithuania,115.28
0194343081090,Lithuania,111.77
194343081144,Lithuania,107.0
194343149875,Latvia,
194343143286,Estonia,43.21
194343148472,Latvia,
194343148472,Estonia,
194343143255,Latvia,
194343143255,Estonia,22.11
194343148489,Latvia,
194343148489,Estonia,
194343143224,Latvia,
194343143224,Estonia,28.12
194343148496,Latvia,
194343148496,Estonia,22.11
194343148458,Latvia,
194343148458,Estonia,36.63
0194343037639,Lithuania,73.53
0194343019352,Lithuania,48.07
194343022901,Lithuania,74.7
0194343147154,Lithuania,58.2
0194343018942,Lithuania,196.89
0194343014654,Lithuania,105.2
0194343107783,Lithuania,104.56
0194343106052,Lithuania,76.99
0194343147093,Lithuania,58.15
0194343037974,Lithuania,111.96
6955880396078,Lithuania,0.0
0194343146768,Lithuania,193.71
0194343146737,Lithuania,197.6
0194343082219,Lithuania,284.33
0194343044934,Lithuania,84.1
0194343042602,Lithuania,87.78
0194343042619,Lithuania,87.8
0194343034942,Lithuania,62.43
0194343147420,Lithuania,57.36
1692178800767,Lithuania,123.07
6955880352258,Latvia,24.42
6955880315949,Latvia,41.27
6955880387076,Latvia,
6955880399727,Latvia,
0194343044422,Latvia,
0194343190341,Latvia,
0194343190327,Latvia,91.86
0194343193854,Latvia,
0194343147123,Lithuania,62.12
0194343040905,Lithuania,85.27
0194343148205,Lithuania,43.46
0194343148182,Lithuania,45.57
0194343029085,Lithuania,52.97
0194343147338,Lithuania,58.2
0194343147086,Lithuania,67.72
6955880347742,Lithuania,76.29
0194343108759,Lithuania,63.48
0194343023762,Lithuania,78.3
0194343107905,Lithuania,0.0
0194343028477,Lithuania,78.3
6955880326259,Estonia,17.75
6955880390588,Estonia,81.48
6955880326242,Estonia,25.96
6955880387076,Estonia,
6955880396085,Estonia,170.15
6955880399727,Estonia,0.0
6955880326266,Estonia,30.06
6955880326280,Estonia,28.64
194343012056,Finland,
6955880342419,Finland,
6955880331697,Finland,95.24
6955880334858,Finland,96.51
6955880394418,Finland,97.75
6955880352258,Finland,24.62
6955880315949,Finland,41.47
6955880387076,Finland,
6955880399727,Finland,
0194343147123,Latvia,51.44
6955880342419,Latvia,
6955880334858,Latvia,89.91
0194343191393,Latvia,
0194343188508,Latvia,87.57
0194343190716,Latvia,264.77
0194343036342,Latvia,247.12
0194343043838,Latvia,
0194343049533,Latvia,
0194343045221,Latvia,190.55
0194343045177,Latvia,
0194343045160,Latvia,
0194343031477,Latvia,
0194343027081,Latvia,
0194343030944,Latvia,
0194343198484,Latvia,116.2
0194343193830,Latvia,33.67
0194343140513,Latvia,34.83
6955880342419,Estonia,
6955880334858,Estonia,88.81
6955880352258,Estonia,24.42
0194343808347,Estonia,51.86
6955880315949,Estonia,41.27
6955880325450,Finland,33.3
6955880357666,Finland,74.3
6955880302413,Finland,32.99
6955880326259,Finland,21.49
6955880390588,Finland,88.21
6955880326242,Finland,12.91
6955880390786,Finland,46.47
6955880396085,Finland,166.95
194343105888,Finland,42.99
6955880326266,Finland,22.33
194343000000,Latvia,220.21
0194343045610,Latvia,130.67
0194343188867,Latvia,
0194343194172,Latvia,
0194343194462,Latvia,
0194343140728,Latvia,
0194343140742,Latvia,
0194343189376,Latvia,90.22
0194343186894,Latvia,
0194343144702,Latvia,
0194343160719,Finland,82.14
0194343160733,Lithuania,
0194343160733,Finland,91.43
0194343160740,Lithuania,147.0
0194343160740,Finland,112.68
194343155401,Lithuania,150.35
194343155395,Lithuania,150.35
194343155388,Lithuania,141.27
194343153858,Lithuania,147.5
194343153988,Lithuania,102.27
194343154121,Lithuania,102.27
194343153896,Lithuania,102.27
194343153889,Lithuania,96.23
194343153926,Lithuania,103.55
194343153810,Lithuania,99.17
0194343191348,Latvia,
0194343189918,Latvia,91.72
0194343044385,Latvia,
194343191232,Latvia,190.34
6955880359639,Finland,49.83
194343148847,Lithuania,153.36
0194343156736,Lithuania,68.11
0194343156736,Finland,62.15
0194343156729,Lithuania,66.68
0194343156729,Finland,62.15
0194343156712,Lithuania,68.11
0194343156712,Finland,62.0
194343162683,Lithuania,149.24
194343162676,Lithuania,154.73
194343153315,Lithuania,167.91
194343153322,Lithuania,193.26
194343154466,Lithuania,0.0
194343154466,Finland,52.43
194343154671,Lithuania,60.69
194343154671,Finland,45.85
0194343044170,Lithuania,178.35
0194343044170,Finland,197.0
194343155166,Lithuania,97.71
194343155180,Lithuania,107.97
0194343160719,Lithuania,121.46
194343145006,Finland,107.3
194343145396,Lithuania,0.0
194343145402,Lithuania,136.15
194343155265,Lithuania,50.86
194343155289,Lithuania,53.78
194343155272,Lithuania,49.4
194343155197,Lithuania,52.32
194343155258,Lithuania,55.24
194343155203,Lithuania,52.32
194343156941,Lithuania,45.0
194343157436,Lithuania,141.25
194343157436,Finland,129.3
194343157443,Lithuania,147.5
194343153063,Lithuania,162.14
194343153070,Lithuania,162.14
194343148809,Lithuania,124.11
194343148793,Lithuania,124.11
194343148816,Lithuania,119.49
194343152714,Lithuania,175.62
194343148823,Lithuania,162.14
194343155067,Lithuania,46.13
194343155067,Finland,30.16
194343155050,Lithuania,63.28
194343155050,Finland,38.01
194343155074,Lithuania,0.0
194343155074,Finland,60.12
194343145884,Lithuania,53.08
194343145884,Finland,37.67
194343145860,Lithuania,0.0
194343145839,Lithuania,0.0
194343145839,Finland,50.88
194343145853,Lithuania,72.35
194343145853,Finland,50.88
194343145846,Lithuania,71.8
194343145846,Finland,50.88
194343154060,Lithuania,180.26
194343154060,Finland,176.38
194343153841,Lithuania,180.26
194343153841,Finland,176.38
194343145006,Lithuania,0.0
194343146201,Finland,68.26
194343146171,Lithuania,73.72
194343146171,Finland,52.58
194343146102,Lithuania,77.38
194343146102,Finland,56.49
194343148427,Lithuania,60.42
194343153520,Lithuania,186.76
194343153520,Finland,184.21
194343153513,Lithuania,188.68
194343045924,Lithuania,187.14
194343045924,Finland,191.46
194343151502,Lithuania,258.35
194343151502,Finland,263.85
194343151731,Lithuania,78.28
194343151731,Finland,58.56
194343151694,Lithuania,57.11
194343149981,Lithuania,0.0
194343149981,Finland,94.48
194343149998,Lithuania,97.33
194343149998,Finland,89.35
194343145679,Lithuania,0.0
194343145686,Lithuania,0.0
194343145693,Lithuania,0.0
194343145792,Lithuania,0.0
194343145808,Lithuania,132.84
194343145815,Lithuania,140.18
194343145822,Lithuania,0.0
194343145594,Lithuania,0.0
194343145983,Lithuania,151.99
194343145983,Finland,178.99
194343151991,Lithuania,81.37
194343151991,Finland,66.19
194343152028,Lithuania,80.27
194343152028,Finland,68.26
194343152042,Lithuania,76.89
194343146188,Lithuania,62.81
194343146188,Finland,40.03
194343146195,Lithuania,136.07
194343146195,Finland,120.21
194343146201,Lithuania,89.29
194343142258,Lithuania,191.82
194343142197,Lithuania,0.0
194343142241,Lithuania,250.0
194343143118,Lithuania,103.55
194343143125,Lithuania,0.0
194343144313,Lithuania,124.85
194343187075,Lithuania,162.14
194343185262,Lithuania,141.27
194343185262,Finland,129.31
194343047928,Lithuania,117.31
194343047928,Finland,86.95
194343026725,Lithuania,105.66
194343026725,Finland,83.5
194343186177,Lithuania,87.0
194343186177,Finland,78.23
194343046693,Lithuania,0.0
194343107967,Lithuania,0.0
194343107967,Finland,92.01
194343145655,Lithuania,0.0
19434314566,Lithuania,0.0
194343148465,Lithuania,52.63
194343149806,Lithuania,52.93
194343148434,Lithuania,0.0
194343148397,Lithuania,0.0
194343149868,Lithuania,58.83
194343145990,Lithuania,74.99
194343145990,Finland,33.12
194343146065,Lithuania,74.99
194343146065,Finland,33.93
194343149738,Lithuania,44.97
194343149738,Finland,15.89
194343146676,Lithuania,45.48
194343146676,Finland,16.53
194343144337,Lithuania,0.0
194343144344,Lithuania,0.0
194343144351,Lithuania,0.0
194343144368,Lithuania,0.0
194343144375,Lithuania,81.61
194343145280,Lithuania,0.0
194343150697,Lithuania,93.48
194343146638,Estonia,118.28
194343146638,Finland,126.49
194343146645,Lithuania,147.5
194343146645,Estonia,131.77
194343146645,Finland,132.87
194343146652,Lithuania,0.0
194343146652,Estonia,185.0
194343146652,Finland,139.95
194343143309,Lithuania,53.78
194343143309,Latvia,38.05
194343143309,Estonia,38.05
194343149875,Lithuania,0.0
194343143286,Lithuania,37.84
194343143286,Finland,22.29
194343148472,Lithuania,0.0
194343143255,Lithuania,37.84
194343148489,Lithuania,0.0
194343143224,Lithuania,0.0
194343148496,Lithuania,37.84
194343148458,Lithuania,52.36
194343198514,Latvia,
194343198514,Estonia,
194343187884,Lithuania,0.0
194343187884,Latvia,
194343187884,Estonia,
194343035475,Lithuania,178.06
194343035475,Latvia,162.33
194343149912,Lithuania,247.34
194343149912,Estonia,217.97
194343149912,Finland,208.2
194343149929,Lithuania,251.8
194343149929,Estonia,236.07
194343149929,Finland,238.05
194343149943,Lithuania,258.34
194343149943,Estonia,229.09
194343149943,Finland,221.48
194343149936,Lithuania,257.34
194343149936,Estonia,228.08
194343149936,Finland,220.26
194343146638,Lithuania,141.27
194343151410,Latvia,49.77
194343151410,Estonia,49.77
194343151427,Lithuania,60.44
194343151427,Estonia,44.16
194343151427,Finland,40.49
194343143026,Lithuania,61.89
194343143026,Latvia,45.83
194343143026,Estonia,45.83
194343144573,Lithuania,82.46
194343144580,Lithuania,83.66
194343151779,Lithuania,314.52
194343151779,Latvia,325.11
194343151779,Estonia,311.75
194343145228,Lithuania,141.27
194343145228,Estonia,122.06
194343145228,Finland,132.14
194343145235,Lithuania,140.57
194343145235,Latvia,124.84
194343145235,Estonia,124.84
194343198514,Lithuania,0.0
0194343142906,Finland,74.4
194343144252,Lithuania,0.0
194343144252,Latvia,
194343144252,Estonia,
194343144245,Lithuania,0.0
194343144245,Latvia,
194343144245,Estonia,
0194343140964,Lithuania,0.0
0194343140964,Estonia,0.0
0194343140964,Finland,76.17
0194343143088,Lithuania,0.0
0194343143088,Latvia,0.0
0194343143088,Estonia,0.0
0194343143088,Finland,
194343151397,Lithuania,57.89
194343151373,Lithuania,58.44
194343151373,Estonia,43.28
194343151373,Finland,44.73
194343151434,Lithuania,66.54
194343151410,Lithuania,65.5
194343140919,Estonia,63.95
